tweetId,tweetDate,tweetWord,tweetSentiment
1016471655600836608,07-09-2018,@growthenergy,pos
1016471655600836608,07-09-2018,june,pos
1016471655600836608,07-09-2018,1,pos
1016471655600836608,07-09-2018,marks,pos
1016471655600836608,07-09-2018,beginning,pos
1016471655600836608,07-09-2018,fuel,pos
1016471655600836608,07-09-2018,restrictions,pos
1016471655600836608,07-09-2018,e15,pos
1016471655600836608,07-09-2018,leaders,pos
1016471655600836608,07-09-2018,across,pos
1016471655600836608,07-09-2018,heartland,pos
1016471655600836608,07-09-2018,urging,pos
1016471655600836608,07-09-2018,@usda,pos
1016471655600836608,07-09-2018,push,pos
1016471655600836608,07-09-2018,@epa,pos
1016471394333483008,07-09-2018,@nysednews,neg
1016471394333483008,07-09-2018,free,neg
1016471394333483008,07-09-2018,#summermeals,neg
1016471394333483008,07-09-2018,available,neg
1016471394333483008,07-09-2018,kids,neg
1016471394333483008,07-09-2018,,neg
1016471394333483008,07-09-2018,teens,neg
1016471394333483008,07-09-2018,text,neg
1016471394333483008,07-09-2018,food,neg
1016471394333483008,07-09-2018,877877,neg
1016471394333483008,07-09-2018,visit,neg
1016471394333483008,07-09-2018,httpstco1ezkdaazhu,neg
1016471394333483008,07-09-2018,find,neg
1016469365825384449,07-09-2018,@growthenergy,pos
1016469365825384449,07-09-2018,june,pos
1016469365825384449,07-09-2018,1,pos
1016469365825384449,07-09-2018,marks,pos
1016469365825384449,07-09-2018,beginning,pos
1016469365825384449,07-09-2018,fuel,pos
1016469365825384449,07-09-2018,restrictions,pos
1016469365825384449,07-09-2018,e15,pos
1016469365825384449,07-09-2018,leaders,pos
1016469365825384449,07-09-2018,across,pos
1016469365825384449,07-09-2018,heartland,pos
1016469365825384449,07-09-2018,urging,pos
1016469365825384449,07-09-2018,@usda,pos
1016469365825384449,07-09-2018,push,pos
1016469365825384449,07-09-2018,@epa,pos
1016468329450622976,07-09-2018,@nickbrusky,neg
1016468329450622976,07-09-2018,today,neg
1016468329450622976,07-09-2018,last,neg
1016468329450622976,07-09-2018,day,neg
1016468329450622976,07-09-2018,service,neg
1016468329450622976,07-09-2018,@usda,neg
1016468329450622976,07-09-2018,i,neg
1016468329450622976,07-09-2018,return,neg
1016468329450622976,07-09-2018,dayton,neg
1016468329450622976,07-09-2018,oh,neg
Thank you @SecretarySonny and @realDonaldTrump?,,,error
1016468046578192384,07-09-2018,@harrymeanwell4,neg
1016468046578192384,07-09-2018,@rbreich,neg
1016468046578192384,07-09-2018,@modfarm,neg
1016468046578192384,07-09-2018,@gop,neg
1016468046578192384,07-09-2018,@usda,neg
1016468046578192384,07-09-2018,@farmaid,neg
1016468046578192384,07-09-2018,,neg
How many farmers are being hurt?,,,error
1016467481995735045,07-09-2018,@fernnews,neg
1016467481995735045,07-09-2018,nearly,neg
1016467481995735045,07-09-2018,20,neg
1016467481995735045,07-09-2018,US,neg
1016467481995735045,07-09-2018,children,neg
1016467481995735045,07-09-2018,lived,neg
1016467481995735045,07-09-2018,poverty,neg
1016467481995735045,07-09-2018,2016,neg
1016467481995735045,07-09-2018,compared,neg
1016467481995735045,07-09-2018,18,neg
1016467481995735045,07-09-2018,2007,neg
